id,user_id,provider,uid,created_at,updated_at
1,8,twitter,4263691213,2024/11/28 10:19,2024/11/28 10:19
2,9,google,114506854305609416200,2024/11/28 16:07,2024/11/28 16:07
3,11,google,116096649286737042874,2024/12/05 17:57,2024/12/05 17:57
4,12,google,107728902279724682365,2024/12/07 14:39,2024/12/07 14:39
5,13,google,116533425599563100804,2024/12/08 19:29,2024/12/08 19:29
