id,name,latitude,longitude,user_id,created_at,updated_at,prefecture_id,municipality_id
1,筑波山(女体山頂),36.225391,140.106721,2,2024/11/01 13:35,2024/11/01 13:35,8,1415
2,心菜,34.415852,131.403628,2,2024/11/01 15:45,2024/11/01 15:45,35,2472
3,地図と測量の科学館,36.103902,140.08564,2,2024/11/02 16:48,2024/11/02 16:48,8,1415
4,宮城蔵王キツネ村,38.040791,140.530286,2,2024/11/02 17:06,2024/11/02 17:06,4,1250
5,高舘山　いこいの広場,38.188111,140.835409,2,2024/11/05 15:08,2024/11/05 15:08,4,1251
6,アミューズパーク 名取りんくう店,38.160105,140.915172,2,2024/11/05 15:13,2024/11/05 15:13,4,1251
7,水木しげる記念館,35.546474,133.231201,4,2024/11/05 20:21,2024/11/05 20:21,31,2374
8,うめだ商店,35.864744,139.835229,2,2024/11/07 00:55,2024/11/07 00:55,11,1530
9,VANSAN,35.600299,139.611093,5,2024/11/07 11:44,2024/11/07 11:44,14,1718
