id,content,access_info,user_id,spot_id,created_at,updated_at
1,"標高877m
視界が開けていて絶景のパノラマ！",麓の筑波山神社から登山道で120分程度,2,1,2024/11/01 13:37,2024/11/01 13:37
4,"数十頭のキツネたちが園内で放し飼いにされており、こちらの足元を歩いていくことも。
餌やり体験や、ウサギなど小動物コーナーもある。
冬毛のモフモフの時期にも来てみたい・・・","白石ICから車で20分程度
閉園16:30、最終入場16時だけど1時間以上はじっくり見ていたい！",2,4,2024/11/02 17:06,2024/11/05 14:25
5,小さな池のほとりにある東屋の下で、ピクニック気分,熊野神社あたりから入っていく道が細いので注意,2,5,2024/11/05 15:11,2024/11/05 18:23
7,"電車でのアクセスも便利なバッティングセンター
釣り堀や猫カフェも併設。
","仙台空港アクセス線　美田園駅　徒歩3分
平日11~23時 (休日前は0時閉店、休日は10時開店)",3,6,2024/11/05 15:22,2024/11/05 15:22
10,"古民家を活用した雰囲気のよいカフェレストラン。
新鮮な魚介を中心に、品のあるメニューが並ぶ！牡蠣もアジフライも絶品でした。","11-15時
土曜は16-22時の夜営業も。",2,8,2024/11/07 01:10,2024/11/07 01:10
